"id","no_surah","bilangan_ayat","muka_surat","juzuk","nama_english","nama_melayu","nama_arab","maksud_english","maksud_melayu","tempat_diturunkan","created_at","updated_at","deleted_at"
"1","1","7","1","1","Al-Fatihah","Al-Fatihah","الفاتحة","The Opener","Pembukaan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"2","2","286","2","1","Al-Baqarah","Al-Baqarah","البقرة","The Cow","Lembu Betina","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"3","3","200","50","3","Ali-'Imran","Ali-'Imran","آل عمران","Family of Imran","Keluarga Imran","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"4","4","176","76","4","An-Nisaa'","An-Nisa'","النساء","The Women","Wanita","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"5","5","120","106","6","Al-Maa'idah","Al-Ma'idah","المائدة","The Table Spread","Hidangan","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"6","6","165","128","7","Al-An'aam","Al-An'am","الأنعام","The Cattle","Binatang Ternakan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"7","7","206","151","8","Al-A'raaf","Al-A'raf","الأعراف","The Heights","Tempat Tertinggi","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"8","8","75","177","9","Al-Anfaal","Al-Anfal","الأنفال","The Spoils of War","Rampasan Perang","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"9","9","129","187","10","At-Taubah","At-Taubah","التوبة","The Repentance","Pengampunan","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"10","10","109","208","11","Yunus","Yunus","يونس","Jonah","Nabi Yunus a.s.","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"11","11","123","221","11","Hud","Hud","هود","Hud","Nabi Hud a.s.","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"12","12","111","235","12","Yusuf","Yusuf","يوسف","Joseph","Nabi Yusuf a.s.","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"13","13","43","249","13","Ar-Ra'd","Ar-Ra'd","الرعد","The Thunder","Guruh","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"14","14","52","255","13","Ibrahim","Ibrahim","ابراهيم","Abraham","Nabi Ibrahim a.s.","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"15","15","99","262","14","Al-Hijr","Al-Hijr","الحجر","The Rocky Tract","Kawasan Berbatu","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"16","16","128","267","14","An-Nahl","An-Nahl","النحل","The Bee","Lebah","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"17","17","111","282","15","Al-Israa'","Al-Isra'","الإسراء","The Night Journey","Perjalanan Malam","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"18","18","110","293","15","Al-Kahfi","Al-Kahf","الكهف","The Cave","Gua","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"19","19","98","305","16","Maryam","Maryam","مريم","Mary","Siti Maryam","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"20","20","135","312","16","Taha","Ta Ha","طه","Ta-Ha","Taahaa","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"21","21","112","322","17","Al-Anbiyaa'","Al-Anbiya'","الأنبياء","The Prophets","Para Nabi","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"22","22","78","332","17","Al-Hajj","Al-Hajj","الحج","The Pilgrimage","Haji","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"23","23","118","342","18","Al-Mu'minuun","Al-Mu'minun","المؤمنون","The Believers","Golongan yang Beriman","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"24","24","64","350","18","An-Nur","An-Nur","النور","The Light","Cahaya","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"25","25","77","359","18","Al-Furqaan","Al-Furqan","الفرقان","The Criterion","Pembeza Kebenaran dan Kebatilan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"26","26","227","367","19","Asy-Syu'araa'","Ash-Shu'ara'","الشعراء","The Poets","Para Penyair","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"27","27","93","377","19","An-Naml","An-Naml","النمل","The Ant","Semut","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"28","28","88","385","20","Al-Qasas","Al-Qasas","القصص","The Stories","Cerita-cerita","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"29","29","69","396","20","Al-'Ankabuut","Al-'Ankabut","العنكبوت","The Spider","Labah-labah","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"30","30","60","404","21","Ar-Ruum","Ar-Rum","الروم","The Romans","Bangsa Rom","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"31","31","34","411","21","Luqman","Luqman","لقمان","Luqman","Luqman","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"32","32","30","415","21","As-Sajdah","As-Sajdah","السجدة","The Prostration","Sujud","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"33","33","73","418","21","Al-Ahzaab","Al-Ahzab","الأحزاب","The Combined Forces","Golongan yang Bersekutu","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"34","34","54","428","22","Saba'","Saba'","سبإ","Sheba","Kaum Saba’","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"35","35","45","434","22","Faatir","Fatir","فاطر","Originator","Pencipta","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"36","36","83","440","22","Yaa siin","Ya Sin","يس","Ya Sin","Yaasin","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"37","37","182","446","23","As-Saaffaat","As-Saffat","الصافات","Those who set the Ranks","Yang Teratur Berbaris","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"38","38","88","453","23","Saad","Sad","ص","The Letter ""Saad""","Saad","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"39","39","75","458","23","Az-Zumar","Az-Zumar","الزمر","The Troops","Rombongan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"40","40","85","467","24","Ghaafir (Al-Mu'min)","Ghaafir (Al-Mu'min)","غافر","The Forgiver","Orang yang Beriman","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"41","41","54","477","24","Fussilat","Fussilat","فصلت","Explained in Detail","Dijelaskan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"42","42","53","483","25","Asy-Syura","Ash-Shura","الشورى","The Consultation","Permesyuaratan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"43","43","89","489","25","Az-Zukhruf","Az-Zukhruf","الزخرف","The Ornaments of Gold","Perhiasan Emas","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"44","44","59","496","25","Ad-Dukhaan","Ad-Dukhan","الدخان","The Smoke","Kabut / Asap","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"45","45","37","499","25","Al-Jaathiyah","Al-Jathiyah","الجاثية","The Crouching","Yang Berlutut","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
